gene_id	gene_symbol	ENTREZ	HGNC_ID	PTV_count	PTV_p_val	PTV_MPC3_count	PTV_MPC3_p_val	PTV_MPC2_count	PTV_MPC2_p_val	MPC3_count	MPC2_count	MPC2_p_val
ENSG00000003756	RBM5	10181	9902	0	1	0	1	0	1	0	0	1
ENSG00000003987	MTMR7	9108	7454	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000003989	SLC7A2	6542	11060	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000004059	ARF5	381	658	0	1	0	1	0	1	0	0	1
ENSG00000004139	SARM1	23098	17074	0	1	NA	NA	0	1	NA	0	1
ENSG00000004142	POLDIP2	26073	23781	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000004399	PLXND1	23129	9107	0	1	0	1	0	1	0	0	1
ENSG00000004455	AK2	204	362	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000004468	CD38	952	1667	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000004478	FKBP4	2288	3720	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000004487	KDM1A	23028	29079	0	1	0	1	0	1	0	0	1
ENSG00000004534	RBM6	10180	9903	0	1	0	1	0	1	0	0	1
ENSG00000004660	CAMKK1	84254	1469	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000004700	RECQL	5965	9948	0	1	0	1	0	1	0	0	1
ENSG00000004766	CCDC132	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000004776	HSPB6	126393	26511	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000004777	ARHGAP33	115703	23085	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000004779	NDUFAB1	4706	7694	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000004799	PDK4	5166	8812	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000004809	SLC22A16	85413	20302	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000004838	ZMYND10	51364	19412	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000004846	ABCB5	340273	46	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000004848	ARX	170302	18060	0	1	0	1	0	1	0	0	1
ENSG00000004864	SLC25A13	10165	10983	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000004866	ST7	7982	11351	0	1	0	1	0	1	0	0	1
ENSG00000004897	CDC27	996	1728	0	1	NA	NA	0	1	NA	0	1
ENSG00000004939	SLC4A1	6521	11027	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000004948	CALCR	799	1440	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000004975	DVL2	1856	3086	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000005001	PRSS22	64063	14368	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000005007	UPF1	5976	9962	0	1	0	1	0	1	0	0	1
ENSG00000005020	SKAP2	8935	15687	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000005022	SLC25A5	292	10991	0	1	0	1	0	1	0	0	1
ENSG00000005059	CCDC109B	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000005073	HOXA11	3207	5101	0	1	NA	NA	0	1	NA	0	1
ENSG00000005075	POLR2J	5439	9197	0	1	0	1	0	1	0	0	1
ENSG00000005100	DHX33	56919	16718	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000005102	MEOX1	4222	7013	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000005108	THSD7A	221981	22207	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000005156	LIG3	3980	6600	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000005175	RPAP3	79657	26151	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000005187	ACSM3	6296	10522	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000005194	CIAPIN1	57019	28050	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000005238	FAM214B	80256	25666	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000005243	COPZ2	51226	19356	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000005249	PRKAR2B	5577	9392	0	1	NA	NA	0	1	NA	0	1
ENSG00000005302	MSL3	10943	7370	0	1	NA	NA	0	1	NA	0	1
ENSG00000005339	CREBBP	1387	2348	0	1	NA	NA	0	1	NA	0	1
ENSG00000005379	BZRAP1	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000005381	MPO	4353	7218	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000005421	PON1	5444	9204	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000005436	GCFC2	6936	1317	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000005448	WDR54	84058	25770	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000005469	CROT	54677	2366	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000005471	ABCB4	5244	45	1	0.044508757	NA	NA	NA	NA	NA	NA	NA
ENSG00000005483	KMT2E	55904	18541	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000005486	RHBDD2	57414	23082	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000005513	SOX8	30812	11203	0	1	0	1	0	1	0	0	1
ENSG00000005700	IBTK	25998	17853	0	1	NA	NA	0	1	NA	0	1
ENSG00000005801	ZNF195	7748	12986	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000005810	MYCBP2	23077	23386	1	0.13168128	NA	NA	1	0.195304635	NA	0	1
ENSG00000005812	FBXL3	26224	13599	0	1	NA	NA	0	1	NA	0	1
ENSG00000005844	ITGAL	3683	6148	0	1	NA	NA	0	1	NA	0	1
ENSG00000005882	PDK2	5164	8810	1	0.01141846	NA	NA	NA	NA	NA	NA	NA
ENSG00000005884	ITGA3	3675	6139	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000005889	ZFX	7543	12869	0	1	NA	NA	0	1	NA	0	1
ENSG00000005893	LAMP2	3920	6501	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000005955	GGNBP2	NA	NA	0	1	NA	NA	0	1	NA	0	1
ENSG00000005961	ITGA2B	3674	6138	0	1	NA	NA	0	1	NA	0	1
ENSG00000005981	ASB4	51666	16009	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000006007	GDE1	51573	29644	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000006016	CRLF1	9244	2364	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000006025	OSBPL7	114881	16387	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000006042	TMEM98	26022	24529	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000006047	YBX2	51087	17948	0	1	0	1	0	1	0	0	1
ENSG00000006059	KRT33A	3883	6450	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000006071	ABCC8	6833	59	0	1	NA	NA	0	1	NA	0	1
ENSG00000006074	CCL18	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000006075	CCL3	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000006114	SYNRG	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000006116	CACNG3	10368	1407	0	1	NA	NA	0	1	NA	0	1
ENSG00000006118	TMEM132A	54972	31092	1	0.0177744	NA	NA	NA	NA	NA	NA	NA
ENSG00000006125	AP2B1	163	563	0	1	0	1	0	1	0	0	1
ENSG00000006128	TAC1	6863	11517	0	1	NA	NA	0	1	NA	0	1
ENSG00000006194	ZNF263	10127	13056	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000006210	CX3CL1	6376	10647	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000006282	SPATA20	64847	26125	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000006283	CACNA1G	8913	1394	0	1	0	1	1	0.271171288	0	1	0.237595773
ENSG00000006327	TNFRSF12A	51330	18152	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000006377	DLX6	1750	2919	0	1	NA	NA	0	1	NA	0	1
ENSG00000006432	MAP3K9	4293	6861	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000006451	RALA	5898	9839	0	1	0	1	0	1	0	0	1
ENSG00000006453	BAIAP2L1	55971	21649	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000006459	KDM7A	80853	22224	0	1	NA	NA	0	1	NA	0	1
ENSG00000006468	ETV1	2115	3490	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000006530	AGK	55750	21869	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000006534	ALDH3B1	221	410	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000006555	TTC22	55001	26067	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000006576	PHTF2	57157	13411	0	1	NA	NA	0	1	NA	0	1
ENSG00000006606	CCL26	10344	10625	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000006607	FARP2	9855	16460	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000006611	USH1C	10083	12597	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000006625	GGCT	79017	21705	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000006634	DBF4	10926	17364	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000006638	TBXA2R	6915	11608	0	1	NA	NA	0	1	NA	0	1
ENSG00000006652	IFRD1	3475	5456	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000006659	LGALS14	56891	30054	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000006695	COX10	1352	2260	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000006704	GTF2IRD1	9569	4661	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000006712	PAF1	54623	25459	2	1.28903e-4	NA	NA	2	0.001866095	NA	0	1
ENSG00000006715	VPS41	27072	12713	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000006740	ARHGAP44	9912	29096	0	1	NA	NA	0	1	NA	0	1
ENSG00000006744	ELAC2	60528	14198	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000006747	SCIN	85477	21695	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000006756	ARSD	414	717	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000006757	PNPLA4	8228	24887	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000006788	MYH13	8735	7571	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000006831	ADIPOR2	79602	24041	0	1	NA	NA	0	1	NA	0	1
ENSG00000006837	CDKL3	51265	15483	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000007001	UPP2	151531	23061	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000007038	PRSS21	10942	9485	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000007047	MARK4	57787	13538	1	0.019061375	1	0.0219664897541599	1	0.057051261	0	0	1
ENSG00000007062	PROM1	8842	9454	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000007080	CCDC124	115098	25171	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000007129	CEACAM21	90273	28834	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000007168	PAFAH1B1	5048	8574	0	1	0	1	0	1	0	0	1
ENSG00000007171	NOS2	4843	7873	0	1	0	1	0	1	0	0	1
ENSG00000007174	DNAH9	1770	2953	2	0.002589011	NA	NA	NA	NA	NA	NA	NA
ENSG00000007202	KIAA0100	9703	28960	0	1	NA	NA	0	1	NA	0	1
ENSG00000007216	SLC13A2	9058	10917	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000007237	GAS7	8522	4169	0	1	0	1	0	1	0	0	1
ENSG00000007255	TRAPPC6A	79090	23069	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000007264	MATK	4145	6906	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000007306	CEACAM7	1087	1819	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000007312	CD79B	974	1699	0	1	NA	NA	0	1	NA	0	1
ENSG00000007314	SCN4A	6329	10591	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000007341	ST7L	54879	18441	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000007350	TKTL1	8277	11835	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000007372	PAX6	5080	8620	0	1	0	1	0	1	0	0	1
ENSG00000007376	RPUSD1	113000	14173	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000007384	RHBDF1	64285	20561	0	1	NA	NA	0	1	NA	0	1
ENSG00000007392	LUC7L	55692	6723	0	1	NA	NA	0	1	NA	0	1
ENSG00000007402	CACNA2D2	9254	1400	1	0.038784911	NA	NA	1	0.090323494	NA	0	1
ENSG00000007516	BAIAP3	8938	948	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000007520	TSR3	115939	14175	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000007541	PIGQ	9091	14135	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000007545	CRAMP1L	NA	NA	0	1	NA	NA	0	1	NA	0	1
ENSG00000007908	SELE	6401	10718	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000007923	DNAJC11	55735	25570	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000007933	FMO3	2328	3771	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000007944	MYLIP	29116	21155	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000007952	NOX1	27035	7889	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000007968	E2F2	1870	3114	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000008018	PSMB1	5689	9537	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000008056	SYN1	6853	11494	0	1	0	1	1	0.05400792	0	1	0.04631937
ENSG00000008083	JARID2	3720	6196	0	1	0	1	1	0.115457703	0	1	0.096985132
ENSG00000008086	CDKL5	6792	11411	0	1	0	1	0	1	0	0	1
ENSG00000008118	CAMK1G	57172	14585	0	1	NA	NA	0	1	NA	0	1
ENSG00000008128	CDK11A	728642	1730	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000008130	NADK	65220	29831	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000008196	TFAP2B	7021	11743	0	1	NA	NA	0	1	NA	0	1
ENSG00000008197	TFAP2D	83741	15581	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000008226	DLEC1	9940	2899	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000008256	CYTH3	9265	9504	0	1	0	1	0	1	0	0	1
ENSG00000008277	ADAM22	53616	201	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000008282	SYPL1	6856	11507	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000008283	CYB561	1534	2571	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000008294	SPAG9	9043	14524	0	1	0	1	0	1	0	0	1
ENSG00000008300	CELSR3	1951	3230	0	1	NA	NA	0	1	NA	0	1
ENSG00000008311	AASS	10157	17366	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000008323	PLEKHG6	55200	25562	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000008324	SS18L2	51188	15593	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000008382	MPND	84954	25934	0	1	0	1	0	1	0	0	1
ENSG00000008394	MGST1	4257	7061	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000008405	CRY1	1407	2384	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000008438	PGLYRP1	8993	8904	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000008441	NFIX	4784	7788	0	1	0	1	0	1	0	0	1
ENSG00000008513	ST3GAL1	6482	10862	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000008516	MMP25	64386	14246	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000008517	IL32	9235	16830	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000008710	PKD1	5310	9008	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000008838	MED24	9862	22963	0	1	0	1	0	1	0	0	1
ENSG00000008853	RHOBTB2	23221	18756	0	1	0	1	0	1	0	0	1
ENSG00000008869	HEATR5B	54497	29273	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000008952	SEC62	7095	11846	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000008988	RPS20	6224	10405	0	1	0	1	0	1	0	0	1
ENSG00000009307	CSDE1	7812	29905	0	1	NA	NA	0	1	NA	0	1
ENSG00000009335	UBE3C	9690	16803	0	1	NA	NA	0	1	NA	0	1
ENSG00000009413	REV3L	5980	9968	0	1	NA	NA	0	1	NA	0	1
ENSG00000009694	TENM1	10178	8117	2	0.001447157	NA	NA	NA	NA	NA	NA	NA
ENSG00000009709	PAX7	5081	8621	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000009724	MASP2	10747	6902	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000009765	IYD	389434	21071	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000009780	FAM76A	199870	28530	0	1	NA	NA	0	1	NA	0	1
ENSG00000009790	TRAF3IP3	80342	30766	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000009830	POMT2	29954	19743	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000009844	VTA1	51534	20954	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000009950	MLXIPL	51085	12744	0	1	NA	NA	0	1	NA	0	1
ENSG00000009954	BAZ1B	9031	961	0	1	NA	NA	0	1	NA	0	1
ENSG00000010017	RANBP9	10048	13727	0	1	NA	NA	0	1	NA	0	1
ENSG00000010030	ETV7	51513	18160	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000010072	SPRTN	83932	25356	0	1	NA	NA	0	1	NA	0	1
ENSG00000010165	METTL13	51603	24248	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000010219	DYRK4	8798	3095	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000010244	ZNF207	7756	12998	1	0.01206586	1	0.0145487529459587	1	0.02413834	0	0	1
ENSG00000010256	UQCRC1	7384	12585	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000010270	STARD3NL	83930	19169	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000010278	CD9	928	1709	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000010282	HHATL	57467	13242	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000010292	NCAPD2	9918	24305	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000010295	IFFO1	25900	24970	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000010310	GIPR	2696	4271	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000010318	PHF7	51533	18458	1	0.01229837	NA	NA	NA	NA	NA	NA	NA
ENSG00000010319	SEMA3G	56920	30400	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000010322	NISCH	11188	18006	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000010327	STAB1	23166	18628	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000010361	FUZ	80199	26219	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000010379	SLC6A13	6540	11046	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000010404	IDS	3423	5389	0	1	NA	NA	0	1	NA	0	1
ENSG00000010438	PRSS3	5646	9486	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000010539	ZNF200	7752	12993	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000010610	CD4	920	1678	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000010626	LRRC23	10233	19138	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000010671	BTK	695	1133	0	1	0	1	0	1	0	0	1
ENSG00000010704	HFE	3077	4886	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000010803	SCMH1	22955	19003	0	1	NA	NA	0	1	NA	0	1
ENSG00000010810	FYN	2534	4037	0	1	0	1	0	1	0	0	1
ENSG00000010818	HIVEP2	3097	4921	0	1	1	0.0446301712389791	1	0.050297597	1	1	0.01721776
ENSG00000010932	FMO1	2326	3769	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000011007	TCEB3	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000011009	LYPLA2	11313	6738	0	1	NA	NA	0	1	NA	0	1
ENSG00000011021	CLCN6	1185	2024	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000011028	MRC2	9902	16875	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000011052	NME2	654364	33531	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000011083	SLC6A7	6534	11054	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000011105	TSPAN9	10867	21640	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000011114	BTBD7	55727	18269	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000011132	APBA3	9546	580	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000011143	MKS1	54903	7121	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000011198	ABHD5	51099	21396	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000011201	KAL1	NA	NA	0	1	NA	NA	0	1	NA	0	1
ENSG00000011243	AKAP8L	26993	29857	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000011258	MBTD1	54799	19866	0	1	NA	NA	0	1	NA	0	1
ENSG00000011260	UTP18	51096	24274	1	0.01365376	NA	NA	NA	NA	NA	NA	NA
ENSG00000011275	RNF216	54476	21698	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000011295	TTC19	54902	26006	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000011304	PTBP1	5725	9583	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000011332	DPF1	8193	20225	0	1	NA	NA	0	1	NA	0	1
ENSG00000011347	SYT7	9066	11514	0	1	NA	NA	0	1	NA	0	1
ENSG00000011376	LARS2	23395	17095	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000011405	PIK3C2A	5286	8971	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000011422	PLAUR	5329	9053	0	1	0	1	0	1	0	0	1
ENSG00000011426	ANLN	54443	14082	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000011451	WIZ	58525	30917	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000011454	RABGAP1	23637	17155	0	1	NA	NA	0	1	NA	0	1
ENSG00000011465	DCN	1634	2705	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000011478	QPCTL	54814	25952	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000011485	PPP5C	5536	9322	0	1	NA	NA	0	1	NA	0	1
ENSG00000011523	CEP68	23177	29076	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000011566	MAP4K3	8491	6865	0	1	NA	NA	0	1	NA	0	1
ENSG00000011590	ZBTB32	27033	16763	0	1	NA	NA	0	1	NA	0	1
ENSG00000011600	TYROBP	7305	12449	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000011638	TMEM159	57146	30136	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000011677	GABRA3	2556	4077	0	1	0	1	0	1	0	0	1
ENSG00000012048	BRCA1	672	1100	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000012061	ERCC1	2067	3433	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000012124	CD22	933	1643	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000012174	MBTPS2	51360	15455	0	1	NA	NA	0	1	NA	0	1
ENSG00000012211	PRICKLE3	4007	6645	0	1	NA	NA	NA	NA	NA	NA	NA
ENSG00000012223	LTF	4057	6720	0	1	0	1	0	1	0	0	1
