gene_symbol	Gene.ID
AGTPBP1	ENSG00000135049
AHCYL1	ENSG00000168710
AHCYL2	ENSG00000158467
AHRR	ENSG00000063438
AHSA1	ENSG00000100591
AICDA	ENSG00000111732
AIDA	ENSG00000186063
AIFM1	ENSG00000156709
AIM1L	ENSG00000176092
AK4	ENSG00000162433
AKAP17A	ENSG00000197976
AKIRIN2	ENSG00000135334
AKR1B10	ENSG00000198074
AKR1C1	ENSG00000187134
AKR1C2	ENSG00000151632
AKR7A2	ENSG00000053371
AKR7A3	ENSG00000162482
AKT1	ENSG00000142208
AKT1S1	ENSG00000204673
AKT2	ENSG00000105221
AKT3	ENSG00000117020
AKTIP	ENSG00000166971
ALDH18A1	ENSG00000059573
ALDH1A3	ENSG00000184254
ALG1	ENSG00000033011
ALKBH5	ENSG00000091542
ALKBH6	ENSG00000239382
ALOXE3	ENSG00000179148
ALPK3	ENSG00000136383
ALPP	ENSG00000163283
ALPPL2	ENSG00000163286
ALYREF	ENSG00000183684
AMACR	ENSG00000242110
AMD1	ENSG00000123505
AMDHD2	ENSG00000162066
AMH	ENSG00000104899
AMIGO1	ENSG00000181754
AMMECR1L	ENSG00000144233
AMPD2	ENSG00000116337
AMPH	ENSG00000078053
AMY1C	ENSG00000187733
AMY2A	ENSG00000243480
ANAPC15	ENSG00000110200
ANAPC2	ENSG00000176248
ANAPC5	ENSG00000089053
ANAPC7	ENSG00000196510
ANGPT1	ENSG00000154188
ANK1	ENSG00000029534
ANK2	ENSG00000145362
ANK3	ENSG00000151150
ANKH	ENSG00000154122
ANKHD1	ENSG00000131503
ANKIB1	ENSG00000001629
ANKRD11	ENSG00000167522
ANKRD13B	ENSG00000198720
ANKRD13C	ENSG00000118454
ANKRD17	ENSG00000132466
ANKRD18A	ENSG00000180071
ANKRD20A1	ENSG00000196774
ANKRD30B	ENSG00000180777
ANKRD34A	ENSG00000181039
ANKRD46	ENSG00000186106
ANKRD52	ENSG00000139645
ANKRD9	ENSG00000156381
ANKS1A	ENSG00000064999
ANKS1B	ENSG00000185046
ANO3	ENSG00000134343
ANP32A	ENSG00000140350
ANTXR1	ENSG00000169604
ANXA8L2	ENSG00000186807
AOC3	ENSG00000131471
AP1B1	ENSG00000100280
AP1G1	ENSG00000166747
AP1M1	ENSG00000072958
AP1S1	ENSG00000106367
AP1S2	ENSG00000182287
AP2A1	ENSG00000196961
AP2A2	ENSG00000183020
AP2B1	ENSG00000006125
AP2M1	ENSG00000161203
AP2S1	ENSG00000042753
AP3B1	ENSG00000132842
AP3B2	ENSG00000103723
AP3D1	ENSG00000065000
AP3S1	ENSG00000177879
APBA1	ENSG00000107282
APBB1	ENSG00000166313
APC2	ENSG00000115266
APH1A	ENSG00000117362
API5	ENSG00000166181
APOA1	ENSG00000118137
APOBEC3A	ENSG00000128383
APOBEC3B	ENSG00000179750
APOBEC3D	ENSG00000243811
APOE	ENSG00000130203
APPBP2	ENSG00000062725
AQP10	ENSG00000143595
AQR	ENSG00000021776
ARAF	ENSG00000078061
ARC	ENSG00000198576
ARCN1	ENSG00000095139
AREG	ENSG00000109321
ARF1	ENSG00000143761
ARF3	ENSG00000134287
ARF4	ENSG00000168374
ARF5	ENSG00000004059
ARF6	ENSG00000165527
ARFGEF1	ENSG00000066777
ARGLU1	ENSG00000134884
ARHGAP11A	ENSG00000198826
ARHGAP11B	ENSG00000187951
ARHGAP17	ENSG00000140750
ARHGAP21	ENSG00000107863
ARHGAP30	ENSG00000186517
ARHGAP32	ENSG00000134909
ARHGAP35	ENSG00000160007
ARHGAP36	ENSG00000147256
ARHGAP39	ENSG00000147799
ARHGAP44	ENSG00000006740
ARHGAP9	ENSG00000123329
ARHGDIA	ENSG00000141522
ARHGEF1	ENSG00000076928
ARHGEF10L	ENSG00000074964
ARHGEF12	ENSG00000196914
ARHGEF15	ENSG00000198844
ARHGEF18	ENSG00000104880
ARHGEF2	ENSG00000116584
ARHGEF3	ENSG00000163947
ARHGEF35	ENSG00000213214
ARHGEF4	ENSG00000136002
ARHGEF7	ENSG00000102606
ARHGEF9	ENSG00000131089
ARID1B	ENSG00000049618
ARID2	ENSG00000189079
ARID3A	ENSG00000116017
ARID3B	ENSG00000179361
ARID4A	ENSG00000032219
ARID4B	ENSG00000054267
ARID5A	ENSG00000196843
ARID5B	ENSG00000150347
ARIH1	ENSG00000166233
ARIH2	ENSG00000177479
ARIH2OS	ENSG00000221883
ARL1	ENSG00000120805
ARL10	ENSG00000175414
ARL3	ENSG00000138175
ARL4A	ENSG00000122644
ARL4C	ENSG00000188042
ARL4D	ENSG00000175906
ARL6IP1	ENSG00000170540
ARL8A	ENSG00000143862
ARL8B	ENSG00000134108
ARMC10	ENSG00000170632
ARMC4	ENSG00000169126
ARMC5	ENSG00000140691
ARMC8	ENSG00000114098
ARMCX1	ENSG00000126947
ARMCX3	ENSG00000102401
ARNT	ENSG00000143437
ARNT2	ENSG00000172379
ARNTL	ENSG00000133794
ARPC1A	ENSG00000241685
ARPC2	ENSG00000163466
ARPC4	ENSG00000241553
ARPC5	ENSG00000162704
ARRB1	ENSG00000137486
ARRB2	ENSG00000141480
ARSB	ENSG00000113273
ARTN	ENSG00000117407
ARX	ENSG00000004848
ASAH2	ENSG00000188611
ASAH2C	ENSG00000072444
ASAP1	ENSG00000153317
ASAP2	ENSG00000151693
ASAP3	ENSG00000088280
ASB18	ENSG00000182177
ASB2	ENSG00000100628
ASB7	ENSG00000183475
ASCL1	ENSG00000139352
ASF1A	ENSG00000111875
ASH1L	ENSG00000116539
ASH2L	ENSG00000129691
ASIC1	ENSG00000110881
ASIC2	ENSG00000108684
ASNA1	ENSG00000198356
ASPHD1	ENSG00000174939
ASTN1	ENSG00000152092
ASTN2	ENSG00000148219
ASUN	ENSG00000064102
ASXL1	ENSG00000171456
ASXL2	ENSG00000143970
ATAD1	ENSG00000138138
ATAD3A	ENSG00000197785
ATAD3B	ENSG00000160072
ATAD3C	ENSG00000215915
ATAD5	ENSG00000176208
ATF2	ENSG00000115966
ATF3	ENSG00000162772
ATF7	ENSG00000170653
ATF7IP	ENSG00000171681
ATG13	ENSG00000175224
ATG16L1	ENSG00000085978
ATG16L2	ENSG00000168010
ATG2A	ENSG00000110046
ATG3	ENSG00000144848
ATG5	ENSG00000057663
ATG9A	ENSG00000198925
ATG9B	ENSG00000181652
ATL1	ENSG00000198513
ATMIN	ENSG00000166454
ATN1	ENSG00000111676
ATOH1	ENSG00000172238
ATOH7	ENSG00000179774
ATOH8	ENSG00000168874
ATP10A	ENSG00000206190
ATP11B	ENSG00000058063
ATP1A1	ENSG00000163399
ATP1A2	ENSG00000018625
ATP1A3	ENSG00000105409
ATP1B1	ENSG00000143153
ATP1B3	ENSG00000069849
ATP2A2	ENSG00000174437
ATP2A3	ENSG00000074370
ATP2B1	ENSG00000070961
ATP2B2	ENSG00000157087
ATP2B3	ENSG00000067842
ATP2B4	ENSG00000058668
ATP2C1	ENSG00000017260
ATP4A	ENSG00000105675
ATP5A1	ENSG00000152234
ATP5B	ENSG00000110955
ATP5G1	ENSG00000159199
ATP6V0A1	ENSG00000033627
ATP6V0B	ENSG00000117410
ATP6V0C	ENSG00000185883
ATP6V0D1	ENSG00000159720
ATP6V1A	ENSG00000114573
ATP6V1B2	ENSG00000147416
ATP8A2	ENSG00000132932
ATP9A	ENSG00000054793
ATR	ENSG00000175054
ATRN	ENSG00000088812
ATRX	ENSG00000085224
ATXN2L	ENSG00000168488
ATXN7	ENSG00000163635
ATXN7L3	ENSG00000087152
AUTS2	ENSG00000158321
AVPR1A	ENSG00000166148
B2M	ENSG00000166710
B3GALT4	ENSG00000235863
B3GALT6	ENSG00000176022
B3GAT1	ENSG00000109956
B3GAT2	ENSG00000112309
B3GNT1	ENSG00000174684
B3GNT3	ENSG00000179913
B3GNT6	ENSG00000198488
B3GNT9	ENSG00000237172
B4GALNT1	ENSG00000135454
B4GALT2	ENSG00000117411
B4GALT5	ENSG00000158470
B4GALT6	ENSG00000118276
BACE1	ENSG00000186318
BAG6	ENSG00000204463
BAHD1	ENSG00000140320
BAI1	ENSG00000181790
BAI2	ENSG00000121753
BAI3	ENSG00000135298
BAIAP2	ENSG00000175866
BANF1	ENSG00000175334
BANP	ENSG00000172530
BAP1	ENSG00000163930
BARHL1	ENSG00000125492
BARX1	ENSG00000131668
BATF	ENSG00000156127
BATF3	ENSG00000123685
BAZ1A	ENSG00000198604
BAZ1B	ENSG00000009954
BAZ2B	ENSG00000123636
BBC3	ENSG00000105327
BCAN	ENSG00000132692
BCAP31	ENSG00000185825
BCKDHA	ENSG00000248098
BCKDK	ENSG00000103507
BCL10	ENSG00000142867
BCL11B	ENSG00000127152
BCL2	ENSG00000171791
BCL2L10	ENSG00000137875
BCL2L2	ENSG00000129473
BCL3	ENSG00000069399
BCL6	ENSG00000113916
BCL7C	ENSG00000099385
BCR	ENSG00000186716
BCS1L	ENSG00000074582
BDNF	ENSG00000176697
BEGAIN	ENSG00000183092
BEND5	ENSG00000162373
BEST2	ENSG00000039987
BEST4	ENSG00000142959
BFSP1	ENSG00000125864
BHLHA15	ENSG00000180535
BHLHE22	ENSG00000180828
BHLHE23	ENSG00000125533
BHLHE40	ENSG00000134107
BICD2	ENSG00000185963
BIN1	ENSG00000136717
BIRC2	ENSG00000110330
BIRC6	ENSG00000115760
BLCAP	ENSG00000166619
BLOC1S3	ENSG00000189114
BLOC1S4	ENSG00000186222
BMI1	ENSG00000168283
BMP7	ENSG00000101144
BMP8A	ENSG00000183682
BMPR1A	ENSG00000107779
BMPR1B	ENSG00000138696
BMS1	ENSG00000165733
BNC1	ENSG00000169594
BNC2	ENSG00000173068
BOD1	ENSG00000145919
BOD1L1	ENSG00000038219
BOK	ENSG00000176720
BPTF	ENSG00000171634
BRAF	ENSG00000157764
BRAP	ENSG00000089234
BRCC3	ENSG00000185515
BRD1	ENSG00000100425
BRD3	ENSG00000169925
BRD4	ENSG00000141867
BRD8	ENSG00000112983
BRF1	ENSG00000185024
BRI3BP	ENSG00000184992
BRK1	ENSG00000254999
BRMS1L	ENSG00000100916
BRPF1	ENSG00000156983
BRPF3	ENSG00000096070
BRSK1	ENSG00000160469
BRSK2	ENSG00000174672
BRWD1	ENSG00000185658
BRWD3	ENSG00000165288
BSX	ENSG00000188909
BTAF1	ENSG00000095564
BTBD10	ENSG00000148925
BTBD2	ENSG00000133243
BTBD3	ENSG00000132640
BTF3	ENSG00000145741
BTF3L4	ENSG00000134717
BTG1	ENSG00000133639
BTG3	ENSG00000154640
BTK	ENSG00000010671
BTLA	ENSG00000186265
BTN3A1	ENSG00000026950
BTN3A2	ENSG00000186470
BTN3A3	ENSG00000111801
BTRC	ENSG00000166167
BUB3	ENSG00000154473
BUD31	ENSG00000106245
BZW1	ENSG00000082153
C10orf95	ENSG00000120055
C11orf58	ENSG00000110696
C11orf68	ENSG00000175573
C12orf23	ENSG00000151135
C14orf142	ENSG00000170270
C15orf56	ENSG00000176753
C16orf72	ENSG00000182831
C16orf80	ENSG00000070761
C16orf87	ENSG00000155330
C17orf100	ENSG00000212734
C17orf85	ENSG00000074356
C18orf56	ENSG00000176912
C19orf35	ENSG00000188305
C19orf43	ENSG00000123144
C19orf45	ENSG00000198723
C19orf52	ENSG00000142444
C19orf66	ENSG00000130813
C1orf106	ENSG00000163362
C1orf122	ENSG00000197982
C1orf198	ENSG00000119280
C1orf204	ENSG00000188004
C1orf229	ENSG00000221953
C1orf35	ENSG00000143793
C1orf56	ENSG00000143443
C1orf63	ENSG00000117616
C1orf95	ENSG00000203685
C1QA	ENSG00000173372
C1QL2	ENSG00000144119
C1QL3	ENSG00000165985
C1QL4	ENSG00000186897
C1QTNF5	ENSG00000223953
C1QTNF9B	ENSG00000205863
C20orf112	ENSG00000197183
C20orf144	ENSG00000149609
C20orf201	ENSG00000171695
C22orf42	ENSG00000205856
C2CD2	ENSG00000157617
C2CD4B	ENSG00000205502
C2CD5	ENSG00000111731
C2orf27A	ENSG00000197927
C2orf82	ENSG00000182600
C3	ENSG00000125730
C3orf58	ENSG00000181744
C3orf72	ENSG00000206262
C4orf3	ENSG00000164096
C4orf32	ENSG00000174749
C6orf106	ENSG00000196821
C6orf136	ENSG00000204564
C7orf43	ENSG00000146826
C7orf60	ENSG00000164603
C8orf82	ENSG00000213563
C9orf129	ENSG00000204352
C9orf40	ENSG00000135045
C9orf41	ENSG00000156017
C9orf50	ENSG00000179058
C9orf69	ENSG00000238227
C9orf78	ENSG00000136819
CA11	ENSG00000063180
CA4	ENSG00000167434
CA5B	ENSG00000169239
CA7	ENSG00000168748
CAB39	ENSG00000135932
CABIN1	ENSG00000099991
CABLES1	ENSG00000134508
CABP1	ENSG00000157782
CACNA1A	ENSG00000141837
CACNA1B	ENSG00000148408
CACNA1C	ENSG00000151067
CACNA1D	ENSG00000157388
CACNA1E	ENSG00000198216
CACNA1F	ENSG00000102001
CACNA1G	ENSG00000006283
CACNA1I	ENSG00000100346
CACNA2D1	ENSG00000153956
CACNA2D2	ENSG00000007402
CACNB1	ENSG00000067191
CACNB4	ENSG00000182389
CACNG2	ENSG00000166862
CACNG3	ENSG00000006116
CACNG4	ENSG00000075461
CACNG7	ENSG00000105605
CACTIN	ENSG00000105298
CAD	ENSG00000084774
CADM1	ENSG00000182985
CADM4	ENSG00000105767
CADPS2	ENSG00000081803
CALM1	ENSG00000198668
CALM2	ENSG00000143933
CALM3	ENSG00000160014
CALML3	ENSG00000178363
CALN1	ENSG00000183166
CALY	ENSG00000130643
CAMK1D	ENSG00000183049
CAMK1G	ENSG00000008118
CAMK2A	ENSG00000070808
CAMK2B	ENSG00000058404
CAMK2D	ENSG00000145349
CAMK2G	ENSG00000148660
CAMK2N1	ENSG00000162545
CAMK2N2	ENSG00000163888
CAMK4	ENSG00000152495
CAMKV	ENSG00000164076
CAMSAP1	ENSG00000130559
CAMSAP2	ENSG00000118200
CAMSAP3	ENSG00000076826
CAMTA2	ENSG00000108509
CAND1	ENSG00000111530
CAND2	ENSG00000144712
CAPN2	ENSG00000162909
CAPRIN1	ENSG00000135387
CAPRIN2	ENSG00000110888
CAPZA2	ENSG00000198898
CAPZB	ENSG00000077549
CARD10	ENSG00000100065
CARD11	ENSG00000198286
CARD9	ENSG00000187796
CARM1	ENSG00000142453
CARS2	ENSG00000134905
CARTPT	ENSG00000164326
CASC10	ENSG00000204682
CASC3	ENSG00000108349
CASK	ENSG00000147044
CASKIN1	ENSG00000167971
CASKIN2	ENSG00000177303
CASP3	ENSG00000164305
CASR	ENSG00000036828
CATSPER2	ENSG00000166762
CATSPERG	ENSG00000099338
CAV1	ENSG00000105974
CBFA2T2	ENSG00000078699
CBFA2T3	ENSG00000129993
CBFB	ENSG00000067955
CBL	ENSG00000110395
CBLN1	ENSG00000102924
CBLN2	ENSG00000141668
CBLN4	ENSG00000054803
CBWD3	ENSG00000196873
CBWD5	ENSG00000147996
CBWD6	ENSG00000204790
CBX1	ENSG00000108468
CBX2	ENSG00000173894
CBX3	ENSG00000122565
CBX4	ENSG00000141582
CBX5	ENSG00000094916
CBX6	ENSG00000183741
CBX7	ENSG00000100307
CBX8	ENSG00000141570
CCAR1	ENSG00000060339
CCAR2	ENSG00000158941
CCDC101	ENSG00000176476
CCDC102A	ENSG00000135736
CCDC106	ENSG00000173581
CCDC127	ENSG00000164366
CCDC142	ENSG00000135637
CCDC149	ENSG00000181982
CCDC22	ENSG00000101997
CCDC6	ENSG00000108091
CCDC71L	ENSG00000253276
CCDC74A	ENSG00000163040
CCDC74B	ENSG00000152076
CCDC85B	ENSG00000175602
CCDC88A	ENSG00000115355
CCDC94	ENSG00000105248
CCK	ENSG00000187094
CCL2	ENSG00000108691
CCL4L2	ENSG00000197262
CCM2L	ENSG00000101331
CCNA2	ENSG00000145386
CCNC	ENSG00000112237
CCND1	ENSG00000110092
CCND2	ENSG00000118971
CCND3	ENSG00000112576
CCNI2	ENSG00000205089
CCNJ	ENSG00000107443
CCNK	ENSG00000090061
CCNL1	ENSG00000163660
CCNT1	ENSG00000129315
CCNT2	ENSG00000082258
CCNY	ENSG00000108100
CCNYL1	ENSG00000163249
CCR10	ENSG00000184451
CCR6	ENSG00000112486
CCR7	ENSG00000126353
CCSAP	ENSG00000154429
CCT6A	ENSG00000146731
CD44	ENSG00000026508
CD6	ENSG00000013725
CD79B	ENSG00000007312
CD81	ENSG00000110651
CD8A	ENSG00000153563
CD8B	ENSG00000172116
CD97	ENSG00000123146
CDAN1	ENSG00000140326
CDC16	ENSG00000130177
CDC20	ENSG00000117399
CDC23	ENSG00000094880
CDC25A	ENSG00000164045
CDC25B	ENSG00000101224
CDC26	ENSG00000176386
CDC27	ENSG00000004897
CDC34	ENSG00000099804
CDC37	ENSG00000105401
CDC40	ENSG00000168438
CDC42	ENSG00000070831
CDC42BPA	ENSG00000143776
CDC42BPB	ENSG00000198752
CDC42BPG	ENSG00000171219
CDC5L	ENSG00000096401
CDC73	ENSG00000134371
CDCA7	ENSG00000144354
CDCA7L	ENSG00000164649
CDH11	ENSG00000140937
CDH24	ENSG00000139880
CDH8	ENSG00000150394
CDK1	ENSG00000170312
CDK11B	ENSG00000248333
CDK12	ENSG00000167258
CDK13	ENSG00000065883
CDK16	ENSG00000102225
CDK17	ENSG00000059758
CDK19	ENSG00000155111
CDK2	ENSG00000123374
CDK2AP1	ENSG00000111328
CDK2AP2	ENSG00000167797
CDK4	ENSG00000135446
CDK5	ENSG00000164885
CDK5R1	ENSG00000176749
CDK6	ENSG00000105810
CDK7	ENSG00000134058
CDK8	ENSG00000132964
CDK9	ENSG00000136807
CDKL5	ENSG00000008086
CDKN1C	ENSG00000129757
CDR2L	ENSG00000109089
CDRT15	ENSG00000223510
CDS2	ENSG00000101290
CDT1	ENSG00000167513
CDV3	ENSG00000091527
CDYL	ENSG00000153046
CEBPB	ENSG00000172216
CEL	ENSG00000170835
CELF1	ENSG00000149187
CELF2	ENSG00000048740
CELF3	ENSG00000159409
CELF4	ENSG00000101489
CELF5	ENSG00000161082
CELF6	ENSG00000140488
CELSR1	ENSG00000075275
CELSR3	ENSG00000008300
CENPA	ENSG00000115163
CENPB	ENSG00000125817
CENPE	ENSG00000138778
CENPV	ENSG00000166582
CENPW	ENSG00000203760
CEPT1	ENSG00000134255
CERS2	ENSG00000143418
CES4A	ENSG00000172824
CETN2	ENSG00000147400
CFC1	ENSG00000136698
CFH	ENSG00000000971
CFHR1	ENSG00000244414
CFHR3	ENSG00000116785
CFHR4	ENSG00000134365
CFL1	ENSG00000172757
CFL2	ENSG00000165410
CFLAR	ENSG00000003402
CFP	ENSG00000126759
CGA	ENSG00000135346
CGB	ENSG00000104827
CGB1	ENSG00000267631
CGB2	ENSG00000104818
CGB7	ENSG00000196337
CGGBP1	ENSG00000163320
CHAC1	ENSG00000128965
CHAF1A	ENSG00000167670
CHAF1B	ENSG00000159259
CHCHD1	ENSG00000172586
CHD1	ENSG00000153922
CHD2	ENSG00000173575
CHD3	ENSG00000170004
CHD4	ENSG00000111642
CHD5	ENSG00000116254
CHD6	ENSG00000124177
CHD7	ENSG00000171316
CHD8	ENSG00000100888
CHERP	ENSG00000085872
CHIC1	ENSG00000204116
CHIC2	ENSG00000109220
CHMP1B	ENSG00000255112
CHMP4A	ENSG00000254505
CHMP4B	ENSG00000101421
CHMP7	ENSG00000147457
CHP1	ENSG00000187446
CHPF	ENSG00000123989
CHRM1	ENSG00000168539
CHRM2	ENSG00000181072
CHRM4	ENSG00000180720
CHRNB2	ENSG00000160716
CHST1	ENSG00000175264
CHST11	ENSG00000171310
CHST13	ENSG00000180767
CHST14	ENSG00000169105
CHST2	ENSG00000175040
CHST3	ENSG00000122863
CHST8	ENSG00000124302
CHSY3	ENSG00000198108
CHUK	ENSG00000213341
CIC	ENSG00000079432
CIITA	ENSG00000179583
CIRBP	ENSG00000099622
CISD2	ENSG00000145354
CIT	ENSG00000122966
CKAP4	ENSG00000136026
CKAP5	ENSG00000175216
CKB	ENSG00000166165
CKMT1A	ENSG00000223572
CKMT1B	ENSG00000237289
CKS1B	ENSG00000173207
CKS2	ENSG00000123975
CLASP1	ENSG00000074054
CLASRP	ENSG00000104859
CLCN3	ENSG00000109572
CLCN4	ENSG00000073464
CLCN7	ENSG00000103249
CLCNKA	ENSG00000186510
CLCNKB	ENSG00000184908
CLDN11	ENSG00000013297
CLDN24	ENSG00000185758
CLDN3	ENSG00000165215
CLDN5	ENSG00000184113
CLEC14A	ENSG00000176435
CLEC16A	ENSG00000038532
CLEC17A	ENSG00000187912
CLEC18A	ENSG00000157322
CLEC3B	ENSG00000163815
CLIC2	ENSG00000155962
CLIC3	ENSG00000169583
CLIC6	ENSG00000159212
CLINT1	ENSG00000113282
CLIP1	ENSG00000130779
CLIP2	ENSG00000106665
CLIP3	ENSG00000105270
CLK2	ENSG00000176444
CLK3	ENSG00000179335
CLK4	ENSG00000113240
CLP1	ENSG00000172409
CLPP	ENSG00000125656
CLPTM1	ENSG00000104853
CLTC	ENSG00000141367
CLVS2	ENSG00000146352
CMAS	ENSG00000111726
CMIP	ENSG00000153815
CMPK1	ENSG00000162368
CMTR1	ENSG00000137200
CNBP	ENSG00000169714
CNEP1R1	ENSG00000205423
CNIH1	ENSG00000100528
CNIH2	ENSG00000174871
CNKSR2	ENSG00000149970
CNN3	ENSG00000117519
CNNM4	ENSG00000158158
CNOT1	ENSG00000125107
CNOT11	ENSG00000158435
CNOT2	ENSG00000111596
CNOT3	ENSG00000088038
CNOT4	ENSG00000080802
CNOT6	ENSG00000113300
CNOT6L	ENSG00000138767
CNOT7	ENSG00000198791
CNOT8	ENSG00000155508
CNP	ENSG00000173786
CNR1	ENSG00000118432
CNTD2	ENSG00000105219
CNTNAP1	ENSG00000108797
COA3	ENSG00000183978
COG1	ENSG00000166685
COG8	ENSG00000213380
COL13A1	ENSG00000197467
COL1A1	ENSG00000108821
COL1A2	ENSG00000164692
COL27A1	ENSG00000196739
COL2A1	ENSG00000139219
COL3A1	ENSG00000168542
COL4A3BP	ENSG00000113163
COL5A3	ENSG00000080573
COPA	ENSG00000122218
COPB1	ENSG00000129083
COPB2	ENSG00000184432
COPS2	ENSG00000166200
COPS3	ENSG00000141030
COPS4	ENSG00000138663
COPS5	ENSG00000121022
COPS6	ENSG00000168090
COPS7A	ENSG00000111652
CORO1A	ENSG00000102879
CORO1C	ENSG00000110880
CORO2B	ENSG00000103647
COX11	ENSG00000166260
COX6B1	ENSG00000126267
CPAMD8	ENSG00000160111
CPD	ENSG00000108582
CPE	ENSG00000109472
CPEB2	ENSG00000137449
CPEB3	ENSG00000107864
CPEB4	ENSG00000113742
CPLX2	ENSG00000145920
CPNE4	ENSG00000196353
CPNE5	ENSG00000124772
CPNE6	ENSG00000100884
CPNE9	ENSG00000144550
CPSF1	ENSG00000071894
CPSF2	ENSG00000165934
CPSF3	ENSG00000119203
CPSF4	ENSG00000160917
CPSF6	ENSG00000111605
CPSF7	ENSG00000149532
CR1	ENSG00000203710
CRABP1	ENSG00000166426
CRAMP1L	ENSG00000007545
CRB2	ENSG00000148204
CREB1	ENSG00000118260
CREBBP	ENSG00000005339
CREBL2	ENSG00000111269
CREBRF	ENSG00000164463
CREBZF	ENSG00000137504
CREG2	ENSG00000175874
CRH	ENSG00000147571
CRHR1	ENSG00000120088
CRK	ENSG00000167193
CRKL	ENSG00000099942
CROCC	ENSG00000058453
CRTC1	ENSG00000105662
CRTC3	ENSG00000140577
CRY2	ENSG00000121671
CS	ENSG00000062485
CSDE1	ENSG00000009307
CSF1R	ENSG00000182578
CSH1	ENSG00000136488
CSK	ENSG00000103653
CSNK1A1	ENSG00000113712
CSNK1D	ENSG00000141551
CSNK1E	ENSG00000213923
CSNK1G2	ENSG00000133275
CSNK2A1	ENSG00000101266
CSNK2A2	ENSG00000070770
CSNK2B	ENSG00000204435
CSPG5	ENSG00000114646
CSRNP2	ENSG00000110925
CSRNP3	ENSG00000178662
CST6	ENSG00000175315
CSTF1	ENSG00000101138
CSTF2	ENSG00000101811
CSTF3	ENSG00000176102
CT83	ENSG00000204019
CTBP1	ENSG00000159692
CTBP2	ENSG00000175029
CTBS	ENSG00000117151
CTCF	ENSG00000102974
CTDNEP1	ENSG00000175826
CTDP1	ENSG00000060069
CTDSP1	ENSG00000144579
CTDSP2	ENSG00000175215
CTDSPL	ENSG00000144677
CTDSPL2	ENSG00000137770
CTGF	ENSG00000118523
CTIF	ENSG00000134030
CTLA4	ENSG00000163599
